uniqPhages,uniqSpecies,Infectivity
1.015.O.,Vibrio sp. 10N.3,NoInf
1.015.O.,Vibrio sp. 10N.4,NoInf
1.015.O.,Vibrio sp. 10N.5,NoInf
1.015.O.,Vibrio sp. F12,NoInf
1.015.O.,Vibrio sp. F13,NoInf
1.015.O.,Vibrio splendidus,NoInf
1.015.O.,Vibrio tasmaniensis,NoInf
1.015.O.,Vibrio vulnificus,NoInf
1.016.O.,Aliivibrio fischeri,NoInf
1.016.O.,Enterovibrio norvegicus,NoInf
1.016.O.,Shewanella sp. 10N.6,NoInf
1.016.O.,Shewanella sp. 10N.7,NoInf
1.016.O.,Vibrio alginolyticus,NoInf
1.016.O.,Vibrio anguillarum,NoInf
1.016.O.,Vibrio breoganii,NoInf
1.016.O.,Vibrio cyclitrophicus,NoInf
1.016.O.,Vibrio jasicida,NoInf
1.016.O.,Vibrio kanaloae,NoInf
1.016.O.,Vibrio lentus,Inf
1.016.O.,Vibrio parahaemolyticus,NoInf
1.016.O.,Vibrio sp. 10N.1,NoInf
1.016.O.,Vibrio sp. 10N.2,NoInf
1.016.O.,Vibrio sp. 10N.3,NoInf
1.016.O.,Vibrio sp. 10N.4,NoInf
1.016.O.,Vibrio sp. 10N.5,NoInf
1.016.O.,Vibrio sp. F12,NoInf
1.016.O.,Vibrio sp. F13,NoInf
1.016.O.,Vibrio splendidus,NoInf
1.016.O.,Vibrio tasmaniensis,NoInf
1.016.O.,Vibrio vulnificus,NoInf
1.017.O.,Aliivibrio fischeri,NoInf
1.017.O.,Enterovibrio norvegicus,NoInf
1.017.O.,Shewanella sp. 10N.6,NoInf
1.017.O.,Shewanella sp. 10N.7,NoInf
1.017.O.,Vibrio alginolyticus,NoInf
1.017.O.,Vibrio anguillarum,NoInf
1.017.O.,Vibrio breoganii,NoInf
1.017.O.,Vibrio cyclitrophicus,NoInf
1.017.O.,Vibrio jasicida,NoInf
1.017.O.,Vibrio kanaloae,NoInf
1.017.O.,Vibrio lentus,NoInf
1.017.O.,Vibrio parahaemolyticus,NoInf
1.017.O.,Vibrio sp. 10N.1,NoInf
1.017.O.,Vibrio sp. 10N.2,NoInf
1.017.O.,Vibrio sp. 10N.3,NoInf
1.017.O.,Vibrio sp. 10N.4,NoInf
1.017.O.,Vibrio sp. 10N.5,NoInf
1.017.O.,Vibrio sp. F12,Inf
1.017.O.,Vibrio sp. F13,NoInf
1.017.O.,Vibrio splendidus,Inf
1.017.O.,Vibrio tasmaniensis,NoInf
1.017.O.,Vibrio vulnificus,NoInf
1.020.O.,Aliivibrio fischeri,NoInf
1.020.O.,Enterovibrio norvegicus,NoInf
1.020.O.,Shewanella sp. 10N.6,NoInf
