	host	virus	Infection
380	S. epidermidis	PG-2021_29	1
381	S. epidermidis	PG-2021_87	1
382	S. epidermidis	PG-2021_8	1
383	S. epidermidis	PG-2021_64	1
384	S. epidermidis	PG-2021_47	1
385	S. epidermidis	PG-2021_34	1
386	S. epidermidis	PG-2021_20	1
387	S. epidermidis	PG-2021_49	1
388	S. epidermidis	PG-2021_18	1
389	S. epidermidis	PG-2021_21	1
390	S. epidermidis	PG-2021_30	1
391	S. epidermidis	PG-2021_35	1
392	S. epidermidis	PG-2021_36	1
393	S. epidermidis	PG-2021_69	1
394	S. epidermidis	PG-2021_58	1
395	S. epidermidis	PG-2021_57	1
396	S. epidermidis	PG-2021_65	1
397	S. epidermidis	PG-2021_81	1
398	S. epidermidis	PG-2021_83	1
399	S. epidermidis	PG-2021_66	1
400	S. epidermidis	PG-2021_56	1
401	S. epidermidis	PG-2021_71	1
402	S. epidermidis	PG-2021_1	1
403	S. epidermidis	PG-2021_62	1
404	S. epidermidis	PG-2021_75	1
405	S. epidermidis	PG-2021_61	1
406	S. epidermidis	PG-2021_79	1
407	S. epidermidis	PG-2021_60	1
408	S. epidermidis	PG-2021_5	1
409	S. epidermidis	PG-2021_74	1
410	S. epidermidis	PG-2021_88	1
411	S. epidermidis	PG-2021_82	1
412	S. epidermidis	PG-2021_44	1
413	S. epidermidis	PG-2021_80	1
414	S. epidermidis	PG-2021_54	1
415	S. epidermidis	PG-2021_63	1
416	S. epidermidis	PG-2021_73	1
417	S. epidermidis	PG-2021_72	1
418	S. epidermidis	PG-2021_7	1
419	S. epidermidis	PG-2021_25	0
420	S. epidermidis	PG-2021_19	0
421	S. epidermidis	PG-2021_78	0
422	S. epidermidis	PG-2021_3	0
423	S. epidermidis	PG-2021_77	0
424	S. epidermidis	PG-2021_37	0
425	S. epidermidis	PG-2021_53	0
426	S. epidermidis	PG-2021_70	1
427	S. epidermidis	PG-2021_55	1
428	S. epidermidis	PG-2021_50	0
429	S. epidermidis	PG-2021_51	0
430	S. epidermidis	PG-2021_59	0
431	S. epidermidis	PG-2021_28	0
432	S. epidermidis	PG-2021_27	0
433	S. epidermidis	PG-2021_46	1
434	S. epidermidis	PG-2021_33	0
435	S. epidermidis	PG-2021_31	0
436	S. epidermidis	PG-2021_32	0
437	S. epidermidis	PG-2021_76	0
438	S. epidermidis	PG-2021_42	0
439	S. epidermidis	PG-2021_12	0
440	S. epidermidis	PG-2021_14	0
441	S. epidermidis	PG-2021_23	0
442	S. epidermidis	PG-2021_24	0
443	S. epidermidis	PG-2021_40	0
444	S. epidermidis	PG-2021_39	0
445	S. epidermidis	PG-2021_41	0
446	S. epidermidis	PG-2021_26	0
447	S. epidermidis	PG-2021_11	0
448	S. epidermidis	PG-2021_13	0
449	S. epidermidis	PG-2021_43	0
450	S. epidermidis	PG-2021_22	0
451	S. epidermidis	PG-2021_4	1
452	S. epidermidis	PG-2021_68	0
453	S. epidermidis	PG-2021_52	0
454	S. epidermidis	PG-2021_67	0
455	S. epidermidis	PG-2021_6	0
456	S. epidermidis	PG-2021_90	1
457	S. epidermidis	PG-2021_94	1
458	S. epidermidis	PG-2021_93	1
459	S. epidermidis	PG-2021_89	1
460	S. equorum	PG-2021_9	1
461	S. equorum	PG-2021_38	1
462	S. equorum	PG-2021_16	1
463	S. equorum	PG-2021_84	1
464	S. equorum	PG-2021_15	1
465	S. equorum	PG-2021_45	1
466	S. equorum	PG-2021_17	1
467	S. equorum	PG-2021_10	1
468	S. equorum	PG-2021_86	1
469	S. equorum	PG-2021_85	1
470	S. equorum	PG-2021_48	1
471	S. equorum	PG-2021_2	1
472	S. equorum	PG-2021_29	1
473	S. equorum	PG-2021_87	1
474	S. equorum	PG-2021_8	1
475	S. equorum	PG-2021_64	1
476	S. equorum	PG-2021_47	1
477	S. equorum	PG-2021_34	1
478	S. equorum	PG-2021_20	1
479	S. equorum	PG-2021_49	1
480	S. equorum	PG-2021_18	1
481	S. equorum	PG-2021_21	1
482	S. equorum	PG-2021_30	1
483	S. equorum	PG-2021_35	0
484	S. equorum	PG-2021_36	0
485	S. equorum	PG-2021_69	0
486	S. equorum	PG-2021_58	0
487	S. equorum	PG-2021_57	0
488	S. equorum	PG-2021_65	0
489	S. equorum	PG-2021_81	0
490	S. equorum	PG-2021_83	0
491	S. equorum	PG-2021_66	0
492	S. equorum	PG-2021_56	0
493	S. equorum	PG-2021_71	0
494	S. equorum	PG-2021_1	0
495	S. equorum	PG-2021_62	0
496	S. equorum	PG-2021_75	0
497	S. equorum	PG-2021_61	0
498	S. equorum	PG-2021_79	0
499	S. equorum	PG-2021_60	0
500	S. equorum	PG-2021_5	0
501	S. equorum	PG-2021_74	0
502	S. equorum	PG-2021_88	0
503	S. equorum	PG-2021_82	0
504	S. equorum	PG-2021_44	0
505	S. equorum	PG-2021_80	0
506	S. equorum	PG-2021_54	0
507	S. equorum	PG-2021_63	0
508	S. equorum	PG-2021_73	0
509	S. equorum	PG-2021_72	0
510	S. equorum	PG-2021_7	1
511	S. equorum	PG-2021_25	0
512	S. equorum	PG-2021_19	0
513	S. equorum	PG-2021_78	0
514	S. equorum	PG-2021_3	0
515	S. equorum	PG-2021_77	0
516	S. equorum	PG-2021_37	0
517	S. equorum	PG-2021_53	0
518	S. equorum	PG-2021_70	0
519	S. equorum	PG-2021_55	0
520	S. equorum	PG-2021_50	0
521	S. equorum	PG-2021_51	0
522	S. equorum	PG-2021_59	0
523	S. equorum	PG-2021_28	0
524	S. equorum	PG-2021_27	0
525	S. equorum	PG-2021_46	0
526	S. equorum	PG-2021_33	0
527	S. equorum	PG-2021_31	0
528	S. equorum	PG-2021_32	0
529	S. equorum	PG-2021_76	0
530	S. equorum	PG-2021_42	1
531	S. equorum	PG-2021_12	1
532	S. equorum	PG-2021_14	1
533	S. equorum	PG-2021_23	1
534	S. equorum	PG-2021_24	1
535	S. equorum	PG-2021_40	1
536	S. equorum	PG-2021_39	1
537	S. equorum	PG-2021_41	1
538	S. equorum	PG-2021_26	1
539	S. equorum	PG-2021_11	1
540	S. equorum	PG-2021_13	1
541	S. equorum	PG-2021_43	0
542	S. equorum	PG-2021_22	0
543	S. equorum	PG-2021_4	0
544	S. equorum	PG-2021_68	0
545	S. equorum	PG-2021_52	0
546	S. equorum	PG-2021_67	0
547	S. equorum	PG-2021_6	0
548	S. equorum	PG-2021_90	0
549	S. equorum	PG-2021_94	0
550	S. equorum	PG-2021_93	0
551	S. equorum	PG-2021_89	0
552	S. kloosii	PG-2021_9	1
553	S. kloosii	PG-2021_38	0
554	S. kloosii	PG-2021_16	0
555	S. kloosii	PG-2021_84	0
556	S. kloosii	PG-2021_15	0
557	S. kloosii	PG-2021_45	0
558	S. kloosii	PG-2021_17	1
559	S. kloosii	PG-2021_10	0
560	S. kloosii	PG-2021_86	1
561	S. kloosii	PG-2021_85	0
562	S. kloosii	PG-2021_48	0
563	S. kloosii	PG-2021_2	0
564	S. kloosii	PG-2021_29	0
565	S. kloosii	PG-2021_87	0
566	S. kloosii	PG-2021_8	1
567	S. kloosii	PG-2021_64	1
568	S. kloosii	PG-2021_47	0
569	S. kloosii	PG-2021_34	1
570	S. kloosii	PG-2021_20	0
571	S. kloosii	PG-2021_49	0
572	S. kloosii	PG-2021_18	0
573	S. kloosii	PG-2021_21	0
574	S. kloosii	PG-2021_30	0
575	S. kloosii	PG-2021_35	0
576	S. kloosii	PG-2021_36	0
577	S. kloosii	PG-2021_69	0
578	S. kloosii	PG-2021_58	0
579	S. kloosii	PG-2021_57	0
580	S. kloosii	PG-2021_65	0
581	S. kloosii	PG-2021_81	0
582	S. kloosii	PG-2021_83	0
583	S. kloosii	PG-2021_66	0
584	S. kloosii	PG-2021_56	0
585	S. kloosii	PG-2021_71	0
586	S. kloosii	PG-2021_1	0
587	S. kloosii	PG-2021_62	0
588	S. kloosii	PG-2021_75	0
589	S. kloosii	PG-2021_61	0
590	S. kloosii	PG-2021_79	0
591	S. kloosii	PG-2021_60	0
592	S. kloosii	PG-2021_5	0
593	S. kloosii	PG-2021_74	0
594	S. kloosii	PG-2021_88	0
595	S. kloosii	PG-2021_82	0
596	S. kloosii	PG-2021_44	0
597	S. kloosii	PG-2021_80	0
598	S. kloosii	PG-2021_54	0
599	S. kloosii	PG-2021_63	0
600	S. kloosii	PG-2021_73	0
601	S. kloosii	PG-2021_72	0
602	S. kloosii	PG-2021_7	1
603	S. kloosii	PG-2021_25	1
604	S. kloosii	PG-2021_19	1
605	S. kloosii	PG-2021_78	0
606	S. kloosii	PG-2021_3	0
607	S. kloosii	PG-2021_77	0
608	S. kloosii	PG-2021_37	0
609	S. kloosii	PG-2021_53	0
610	S. kloosii	PG-2021_70	0
611	S. kloosii	PG-2021_55	0
612	S. kloosii	PG-2021_50	0
613	S. kloosii	PG-2021_51	0
614	S. kloosii	PG-2021_59	0
615	S. kloosii	PG-2021_28	0
616	S. kloosii	PG-2021_27	0
617	S. kloosii	PG-2021_46	0
618	S. kloosii	PG-2021_33	1
619	S. kloosii	PG-2021_31	1
620	S. kloosii	PG-2021_32	1
621	S. kloosii	PG-2021_76	1
622	S. kloosii	PG-2021_42	0
623	S. kloosii	PG-2021_12	1
624	S. kloosii	PG-2021_14	1
625	S. kloosii	PG-2021_23	0
626	S. kloosii	PG-2021_24	0
627	S. kloosii	PG-2021_40	1
628	S. kloosii	PG-2021_39	0
629	S. kloosii	PG-2021_41	1
630	S. kloosii	PG-2021_26	0
631	S. kloosii	PG-2021_11	1
632	S. kloosii	PG-2021_13	1
633	S. kloosii	PG-2021_43	1
634	S. kloosii	PG-2021_22	1
635	S. kloosii	PG-2021_4	0
636	S. kloosii	PG-2021_68	1
637	S. kloosii	PG-2021_52	0
638	S. kloosii	PG-2021_67	1
