hostname,phagename,infection
Vibrio_mimicus,NC_021562,Inf
Vibrio_parahaemolyticus,NC_021562,NoInf
Vibrio_vulnificus,NC_021562,Inf
Bacillus_cereus,NC_021783,NoInf
Bacillus_subtilis,NC_021783,NoInf
Cronobacter_sakazakii,NC_021783,NoInf
Enterococcus_faecalis,NC_021783,NoInf
Escherichia_coli,NC_021783,NoInf
Listeria_innocua,NC_021783,NoInf
Listeria_monocytogenes,NC_021783,NoInf
Pseudomonas_aeruginosa,NC_021783,NoInf
Salmonella_enterica,NC_021783,Inf
Shigella_boydii,NC_021783,NoInf
Shigella_flexneri,NC_021783,NoInf
Staphylococcus_aureus,NC_021783,NoInf
Staphylococcus_epidermidis,NC_021783,NoInf
Vibrio_fischeri,NC_021783,NoInf
Bacillus_cereus,NC_021801,NoInf
Bacillus_subtilis,NC_021801,NoInf
Enterococcus_faecalis,NC_021801,NoInf
Escherichia_coli,NC_021801,NoInf
Listeria_monocytogenes,NC_021801,NoInf
Pseudomonas_aeruginosa,NC_021801,NoInf
Salmonella_enterica,NC_021801,NoInf
Staphylococcus_aureus,NC_021801,Inf
Staphylococcus_epidermidis,NC_021801,Inf
Staphylococcus_aureus,NC_022090,Inf
Staphylococcus_epidermidis,NC_022090,NoInf
Staphylococcus_haemolyticus,NC_022090,NoInf
Xylella_fastidiosa,NC_022982,Inf
Xylella_fastidiosa,NC_022987,Inf
Bacillus_anthracis,NC_023007,Inf
Bacillus_cereus,NC_023007,Inf
Bacillus_megaterium,NC_023007,NoInf
Bacillus_sphaericus,NC_023007,NoInf
Bacillus_subtilis,NC_023007,NoInf
Bacillus_thuringiensis,NC_023007,Inf
Bacillus_weihenstephanensis,NC_023007,NoInf
Enterococcus_faecalis,NC_023007,NoInf
Escherichia_coli,NC_023007,NoInf
Lactococcus_lactis,NC_023007,NoInf
Listeria_ivanovii,NC_023007,NoInf
Listeria_monocytogenes,NC_023007,NoInf
Salmonella_enterica,NC_023007,NoInf
Staphylococcus_aureus,NC_023007,NoInf
Staphylococcus_epidermidis,NC_023007,NoInf
Streptococcus_salivarius,NC_023007,NoInf
Cronobacter_malonaticus,NC_023558,Inf
Cronobacter_turicensis,NC_023558,Inf
Escherichia_coli,NC_023558,Inf
Salmonella_enterica,NC_023558,Inf
Rhizobium_etli,NC_023566,NoInf
Rhizobium_gallicum,NC_023566,Inf
Rhizobium_leguminosarum,NC_023566,NoInf
Rhizobium_leucaenae,NC_023566,Inf
Sinorhizobium_meliloti,NC_023566,NoInf
Lactobacillus_brevis,NC_023574,NoInf
Lactobacillus_plantarum,NC_023574,NoInf
Lactococcus_lactis,NC_023574,Inf
Staphylococcus_aureus,NC_023582,NoInf
Staphylococcus_epidermidis,NC_023582,Inf
Staphylococcus_haemolyticus,NC_023582,NoInf
Staphylococcus_intermedius,NC_023582,NoInf
Pseudomonas_syringae,NC_023601,Inf
Bacillus_pumilus,NC_023693,NoInf
Bacillus_subtilis,NC_023693,NoInf
Escherichia_coli,NC_023693,Inf
Pseudomonas_putida,NC_023693,NoInf
Rhodococcus_equi,NC_023694,Inf
Rhodococcus_equi,NC_023706,Inf
Rhodococcus_equi,NC_023722,Inf
Rhodococcus_equi,NC_023735,Inf
Pseudomonas_aeruginosa,NC_024123,Inf
Pseudomonas_aeruginosa,NC_024140,Inf
Anabaena_variabilis,NC_024358,Inf
Nostoc_linckia,NC_024358,Inf
Leuconostoc_mesenteroides,NC_024378,Inf
Leuconostoc_pseudomesenteroides,NC_024378,NoInf
Leuconostoc_mesenteroides,NC_024380,NoInf
Leuconostoc_pseudomesenteroides,NC_024380,Inf
Leuconostoc_mesenteroides,NC_024385,NoInf
Leuconostoc_pseudomesenteroides,NC_024385,Inf
Leuconostoc_mesenteroides,NC_024386,Inf
Leuconostoc_pseudomesenteroides,NC_024386,NoInf
Leuconostoc_mesenteroides,NC_024388,Inf
Leuconostoc_pseudomesenteroides,NC_024388,NoInf
Leuconostoc_mesenteroides,NC_024389,Inf
Leuconostoc_pseudomesenteroides,NC_024389,NoInf
Leuconostoc_mesenteroides,NC_024390,NoInf
Leuconostoc_pseudomesenteroides,NC_024390,Inf
Lactobacillus_delbrueckii,NC_025415,Inf
Lactobacillus_delbrueckii,NC_025420,Inf
Lactobacillus_delbrueckii,NC_025421,Inf
Bacillus_anthracis,NC_025423,Inf
Bacillus_cereus,NC_025423,Inf
Bacillus_megaterium,NC_025423,NoInf
Bacillus_subtilis,NC_025423,NoInf
Bacillus_thuringiensis,NC_025423,Inf
Bacillus_weihenstephanensis,NC_025423,NoInf
Enterococcus_faecalis,NC_025423,NoInf
Escherichia_coli,NC_025423,NoInf
Lactococcus_lactis,NC_025423,NoInf
Listeria_ivanovii,NC_025423,NoInf
Listeria_monocytogenes,NC_025423,NoInf
Salmonella_enterica,NC_025423,NoInf
Staphylococcus_aureus,NC_025423,NoInf
Staphylococcus_epidermidis,NC_025423,NoInf
Streptococcus_salivarius,NC_025423,NoInf
Rhizobium_etli,NC_025427,NoInf
Rhizobium_gallicum,NC_025427,NoInf
Rhizobium_leguminosarum,NC_025427,Inf
Sinorhizobium_meliloti,NC_025427,NoInf
Escherichia_coli,NC_025430,Inf
Yersinia_aldovae,NC_025451,NoInf
Yersinia_bercovieri,NC_025451,NoInf
Yersinia_enterocolitica,NC_025451,Inf
Yersinia_frederiksenii,NC_025451,NoInf
Yersinia_intermedia,NC_025451,NoInf
Yersinia_kristensenii,NC_025451,NoInf
Yersinia_pseudotuberculosis,NC_025451,NoInf
Yersinia_rohdei,NC_025451,NoInf
Yersinia_ruckeri,NC_025451,NoInf
Escherichia_coli,NC_025829,NoInf
Shigella_boydii,NC_025829,NoInf
Shigella_flexneri,NC_025829,Inf
Shigella_sonnei,NC_025829,Inf
Escherichia_coli,NC_026010,NoInf
